id,production_date,panel_serial_nbr,energy_produced
1204,2023-08-10,482303052483,1.41
1205,2023-08-10,482303052487,1.61
1206,2023-08-10,482303052489,1.46
1207,2023-08-10,482303052497,1.62
1208,2023-08-10,482303052574,1.43
1209,2023-08-10,482303052582,1.62
1210,2023-08-10,482303052599,1.61
1361,2023-08-09,482303052269,1.98
1362,2023-08-09,482303052299,2.11
1363,2023-08-09,482303052413,1.88
1364,2023-08-09,482303052483,2
1365,2023-08-09,482303052487,2.1
1366,2023-08-09,482303052489,1.91
1367,2023-08-09,482303052497,2.11
1368,2023-08-09,482303052574,2.01
1369,2023-08-09,482303052582,2.12
1370,2023-08-09,482303052599,2.11
1531,2023-08-08,482303052269,1.22
1532,2023-08-08,482303052299,1.42
1533,2023-08-08,482303052413,1.39
1534,2023-08-08,482303052483,1.23
1535,2023-08-08,482303052487,1.41
1536,2023-08-08,482303052489,1.42
1537,2023-08-08,482303052497,1.48
1538,2023-08-08,482303052574,1.25
1539,2023-08-08,482303052582,1.49
1540,2023-08-08,482303052599,1.42
1711,2023-08-07,482303052269,1.46
1712,2023-08-07,482303052299,1.6
1713,2023-08-07,482303052413,1.41
1714,2023-08-07,482303052483,1.45
1715,2023-08-07,482303052487,1.59
1716,2023-08-07,482303052489,1.42
1717,2023-08-07,482303052497,1.59
1718,2023-08-07,482303052574,1.47
1719,2023-08-07,482303052582,1.6
1720,2023-08-07,482303052599,1.59
1901,2023-08-06,482303052269,0.6
1902,2023-08-06,482303052299,0.71
1903,2023-08-06,482303052413,0.69
1904,2023-08-06,482303052483,0.591
1905,2023-08-06,482303052487,0.702
1906,2023-08-06,482303052489,0.701
1907,2023-08-06,482303052497,0.743
1908,2023-08-06,482303052574,0.611
1909,2023-08-06,482303052582,0.744
1910,2023-08-06,482303052599,0.708
2101,2023-08-05,482303052269,0.781
2102,2023-08-05,482303052299,0.929
2103,2023-08-05,482303052413,0.937
2104,2023-08-05,482303052483,0.774
2105,2023-08-05,482303052487,0.919
2106,2023-08-05,482303052489,0.952
2107,2023-08-05,482303052497,0.99
2108,2023-08-05,482303052574,0.795
2109,2023-08-05,482303052582,0.992
2110,2023-08-05,482303052599,0.928
2311,2023-08-04,482303052269,1.51
2312,2023-08-04,482303052299,1.62
2313,2023-08-04,482303052413,1.31
2314,2023-08-04,482303052483,1.51
2315,2023-08-04,482303052487,1.6
2316,2023-08-04,482303052489,1.31
2317,2023-08-04,482303052497,1.55
2318,2023-08-04,482303052574,1.52
2319,2023-08-04,482303052582,1.54
2320,2023-08-04,482303052599,1.61
2531,2023-08-03,482303052269,0.917
2532,2023-08-03,482303052299,1.078
2533,2023-08-03,482303052413,1.035
2534,2023-08-03,482303052483,0.914
2535,2023-08-03,482303052487,1.07
2536,2023-08-03,482303052489,1.055
2537,2023-08-03,482303052497,1.121
2538,2023-08-03,482303052574,0.939
