id,consumption_date,stand_i,stand_ii,gas
22660,2024-02-29 23:00:00.000000,48454,53298,39587.359
22661,2024-03-01 10:00:00.000000,48454,53298,39587.359
22662,2024-03-02 10:50:00.000000,48454,53307,39589.884
22663,2024-03-03 13:30:00.000000,48454,53305,39590.222
22664,2024-03-04 10:45:00.000000,48454,53310,39590.673
22665,2024-03-05 11:40:00.000000,48454,53308,39591.444
22666,2024-03-06 15:15:00.000000,48454,53314,39592.425
22667,2024-03-07 08:45:00.000000,48454,53319,39592.728
22668,2024-03-08 11:00:00.000000,48454,53315,39593.825
22669,2024-03-09 09:35:00.000000,48454,53313,39594.681
22670,2024-03-10 10:45:00.000000,48454,53313,39595.553
22671,2024-03-13 10:15:00.000000,48454,53339,39601.066
22672,2024-03-16 12:00:00.000000,48454,53343,39603.183
22673,2024-03-18 09:15:00.000000,48454,53346,39604.169
22674,2024-03-19 10:10:00.000000,48454,53350,39605.487
22675,2024-03-20 10:50:00.000000,48454,53349,39606.168
22676,2024-03-21 09:00:00.000000,48454,53353,39606.858
22677,2024-03-22 11:00:00.000000,48454,53362,39607.471
22678,2024-03-25 10:00:00.000000,48454,53382,39612.271
22679,2024-03-26 17:00:00.000000,48454,53369,39613.042
22792,2024-03-29 10:25:00.000000,48454,53373,39616.657
22793,2024-03-31 12:10:00.000000,48454,53384,39618.508
22794,2024-04-01 10:00:00.000000,48454,53384,39618.508
22795,2024-04-02 10:50:00.000000,48454,53385,39619.131
22796,2024-04-03 13:30:00.000000,48454,53395,39620.173
22797,2024-04-07 10:40:00.000000,48454,53399,39622.251
22798,2024-04-10 10:35:00.000000,48454,53401,39623.769
22799,2024-04-10 17:25:00.000000,48454,53387,39623.828
22800,2024-04-13 08:34:00.000000,48454,53391,39625.252
22801,2024-04-14 10:35:00.000000,48454,53384,39625.901
22802,2024-04-15 09:00:00.000000,48454,53378,39626.354
22803,2024-04-16 09:00:00.000000,48454,53381,39627.016
22804,2024-04-17 07:20:00.000000,48454,53381,39627.332
22805,2024-04-20 10:30:00.000000,48454,53380,39629.572
22806,2024-04-21 11:15:00.000000,48454,53374,39630.161
22807,2024-04-22 12:40:00.000000,48454,53364,39630.932
22808,2024-04-23 09:00:00.000000,48454,53363,39631.357
22809,2024-04-24 10:25:00.000000,48454,53357,39632.184
22810,2024-04-25 08:55:00.000000,48454,53356,39632.735
22811,2024-04-26 14:00:00.000000,48454,53351,39634.347
22812,2024-04-28 12:45:00.000000,48454,53353,39634.542
22813,2024-04-29 08:40:00.000000,48454,53345,39635.011
22814,2024-04-30 11:00:00.000000,48454,53345,39635.419
