id,consumption_date,stand_i,stand_ii,gas
97,2019-01-27 07:30:00.000000,42447,41162,36972.355
98,2019-01-28 07:30:00.000000,42457,41162,36974.395
99,2019-01-30 07:30:00.000000,42462,41176,36984.926
100,2019-01-31 07:30:00.000000,42464,41184,36989.058
101,2019-02-01 07:30:00.000000,42465,41193,36993.867
102,2019-02-02 07:30:00.000000,42467,41199,37000.82
103,2019-02-03 09:00:00.000000,42479,41199,37004.134
104,2019-02-04 09:00:00.000000,42486,41199,37007.411
105,2019-02-05 10:00:00.000000,42487,41204,37012.278
106,2019-02-06 08:30:00.000000,42488,41210,37015.254
107,2019-02-07 07:30:00.000000,42490,41218,37019.675
108,2019-02-08 09:42:00.000000,42492,41224,37022.162
109,2019-02-09 09:55:00.000000,42495,41231,37023.578
110,2019-02-10 07:30:00.000000,42506,41231,37026.07
111,2019-02-11 07:30:00.000000,42518,41232,37033.379
112,2019-02-12 07:30:00.000000,42519,41238,37037.113
113,2019-02-13 07:30:00.000000,42522,41246,37039.362
114,2019-02-14 07:00:00.000000,42522,41253,37043.474
115,2019-02-15 07:30:00.000000,42523,41261,37047.009
116,2019-02-16 08:30:00.000000,42524,41268,37049.43
117,2019-02-17 08:15:00.000000,42537,41268,37051.653
118,2019-02-18 08:00:00.000000,42547,41268,37053.203
119,2019-02-19 08:00:00.000000,42549,41279,37055.172
120,2019-02-20 07:30:00.000000,42550,41284,37058.272
121,2019-02-21 07:30:00.000000,42551,41292,37060.218
122,2019-02-22 08:00:00.000000,42553,41299,37062.148
123,2019-02-23 10:30:00.000000,42555,41307,37066.822
124,2019-02-24 10:00:00.000000,42567,41307,37069.792
125,2019-02-25 07:30:00.000000,42576,41307,37072.352
126,2019-02-26 07:30:00.000000,42577,41315,37075.252
127,2019-02-27 07:30:00.000000,42578,41322,37076.881
128,2019-02-28 07:30:00.000000,42580,41330,37078.334
129,2019-03-01 07:30:00.000000,42581,41338,37079.403
130,2019-03-02 07:30:00.000000,42582,41345,37082.332
131,2019-03-03 07:30:00.000000,42596,41345,37084.72
132,2019-03-04 07:30:00.000000,42607,41345,37086.824
133,2019-03-05 07:30:00.000000,42609,41350,37089.135
134,2019-03-06 07:30:00.000000,42611,41356,37091.339
135,2019-03-07 07:30:00.000000,42612,41363,37093.894
136,2019-03-08 07:30:00.000000,42614,41376,37097.615
137,2019-03-09 07:30:00.000000,42617,41376,37099.823
138,2019-03-10 07:30:00.000000,42631,41376,37102.225
139,2019-03-11 07:30:00.000000,42644,41376,37107.003
140,2019-03-12 07:30:00.000000,42645,41383,37110.317
141,2019-03-13 07:30:00.000000,42646,41391,37115.14
142,2019-03-14 07:30:00.000000,42648,41398,37121.078
143,2019-03-15 07:30:00.000000,42649,41405,37124.722
144,2019-03-16 07:30:00.000000,42650,41413,37129.931
145,2019-03-17 07:30:00.000000,42663,41413,37132.275
146,2019-03-18 07:30:00.000000,42672,41413,37136.608
147,2019-03-19 07:30:00.000000,42673,41422,37139.74
148,2019-03-20 07:30:00.000000,42674,41430,37141.609
149,2019-03-21 07:30:00.000000,42676,41440,37146.617
150,2019-03-22 07:30:00.000000,42677,41446,37147.841
151,2019-03-23 07:20:00.000000,42679,41456,37149.298
152,2019-03-24 07:30:00.000000,42689,41456,37152.725
153,2019-03-25 07:30:00.000000,42699,41457,37156.593
154,2019-03-26 07:30:00.000000,42701,41464,37160.639
155,2019-03-27 07:30:00.000000,42703,41471,37162.019
156,2019-03-28 07:30:00.000000,42704,41478,37165.425
157,2019-03-29 07:30:00.000000,42709,41488,37165.425
158,2019-03-30 07:30:00.000000,42709,41488,37169.32
159,2019-03-31 10:00:00.000000,42718,41488,37170.389
160,2019-04-01 07:30:00.000000,42726,41488,37171.531
161,2019-04-02 07:30:00.000000,42728,41494,37174.412
162,2019-04-03 07:30:00.000000,42729,41504,37176.639
163,2019-04-04 07:30:00.000000,42730,41511,37179.001
164,2019-04-05 07:30:00.000000,42733,41520,37182
165,2019-04-06 07:30:00.000000,42734,41528,37186.028
166,2019-04-07 07:30:00.000000,42744,41528,37187.435
167,2019-04-08 08:00:00.000000,42752,41529,37188.073
168,2019-04-09 07:30:00.000000,42758,41536,37189.258
169,2019-04-10 08:00:00.000000,42759,41545,37191.458
170,2019-04-11 07:30:00.000000,42761,41552,37193.302
171,2019-04-12 07:30:00.000000,42762,41559,37195.254
172,2019-04-13 08:00:00.000000,42764,41566,37198.094
173,2019-04-14 07:30:00.000000,42774,41566,37201.419
174,2019-04-15 07:30:00.000000,42787,41566,37202.721
175,2019-04-16 07:30:00.000000,42788,41572,37204.169
176,2019-04-17 07:30:00.000000,42789,41580,37205.719
177,2019-04-18 07:30:00.000000,42790,41587,37206.973
178,2019-04-19 07:30:00.000000,42791,41594,37207.71
179,2019-04-20 07:30:00.000000,42792,41598,37209.574
180,2019-04-21 07:30:00.000000,42804,41598,37210.07
181,2019-04-22 07:30:00.000000,42820,41598,37210.827
182,2019-04-24 07:30:00.000000,42836,41605,37212.431
183,2019-04-25 07:30:00.000000,42837,41616,37213.253
184,2019-04-26 07:30:00.000000,42839,41627,37214.062
185,2019-04-27 07:30:00.000000,42840,41632,37214.953
186,2019-04-28 07:30:00.000000,42853,41632,37215.71
187,2019-04-29 07:30:00.000000,42863,41632,37216.59
188,2019-04-30 07:30:00.000000,42866,41639,37217.204
